,Gflops,Execution time (s),Location
0,78.53,50.24182915687561,[544 620 532  32  10  32  32  76]
1,87.15,45.84535026550293,[368 412 460  32  10  48  32  28]
2,86.1,13.54710602760315,[160 548 584  32  10  32  28  56]
3,88.74,9.168488264083862,[672 184 540  32  10  64  32  68]
4,82.47,19.01356315612793,[560 564 160  32  10  48  56  76]
5,85.88,40.28436303138733,[400 580 240  32  10  48  64  40]
6,76.38,10.513554096221924,[368 216 204  32  10  64  32  24]
7,90.93,23.687074661254883,[624 468 372  32  10  64  28  16]
8,98.44,81.06180810928345,[368 504 640  32  10  64  20  76]
9,91.5,20.69750189781189,[448 424 452  32  10  64  44  52]
10,92.81,73.57983183860779,[656 312 568  32  10  64  44  28]
11,86.41,38.16354703903198,[576 388 464  32  10  48  44  16]
12,88.77,23.247902631759644,[368 344 464  32  10  64  32  68]
13,87.0,22.759398698806763,[416 180 612  32  10  64  36  60]
14,89.28,18.430665016174316,[480 532 296  32  10  64  28  28]
15,78.29,14.181770086288452,[304 572 164  32  10  64  76  28]
16,92.83,31.339487075805664,[544 384 420  32  10  64  24  28]
17,90.83,41.20092415809631,[400 404 488  32  10  48  28  52]
18,87.89,58.66975975036621,[672 548 312  32  10  64  64  16]
19,81.52,21.434051036834717,[528 252 212  32  10  48  36  40]
